"Jahr";"Quartal";"Monat";"Betriebsart";"Tourismus_Ankünfte";"Tourismus_Übernachtungen";"Tourismus_Betriebe";"Tourismus_Betten"
"2004";"3. Quartal";"08";"Jugendherbergen";6957;15546;5;789
"2004";"3. Quartal";"08";"sonstige";1125;4538;6;311
"2004";"3. Quartal";"09";"Hotels";101768;219735;65;10965
"2004";"3. Quartal";"09";"Hotels garni";16280;37019;23;2023
"2004";"3. Quartal";"09";"Gasthöfe";2181;4687;18;380
"2004";"3. Quartal";"09";"Pensionen";3234;8114;33;592
"2004";"3. Quartal";"09";"Jugendherbergen";7718;17713;6;879
"2004";"3. Quartal";"09";"sonstige";1325;5121;6;311
"2004";"4. Quartal";"10";"Hotels";96463;213313;66;10989
"2004";"4. Quartal";"10";"Hotels garni";15529;36110;23;2023
"2004";"4. Quartal";"10";"Gasthöfe";1920;3946;17;322
"2004";"4. Quartal";"10";"Pensionen";2944;7743;33;592
"2004";"4. Quartal";"10";"Jugendherbergen";7434;15831;6;878
"2004";"4. Quartal";"10";"sonstige";1159;4128;6;311
"2004";"4. Quartal";"11";"Hotels";74809;146667;66;11080
"2004";"4. Quartal";"11";"Hotels garni";10807;22563;23;2023
"2004";"4. Quartal";"11";"Gasthöfe";1416;2592;17;322
"2004";"4. Quartal";"11";"Pensionen";2306;5830;33;592
"2004";"4. Quartal";"11";"Jugendherbergen";4122;8531;6;878
"2004";"4. Quartal";"11";"sonstige";859;3496;6;311
"2004";"4. Quartal";"12";"Hotels";93969;190899;68;11321
"2004";"4. Quartal";"12";"Hotels garni";12427;25961;22;1875
"2004";"4. Quartal";"12";"Gasthöfe";1726;3109;18;339
"2004";"4. Quartal";"12";"Pensionen";2584;6361;33;592
"2004";"4. Quartal";"12";"Jugendherbergen";5336;9434;7;898
"2004";"4. Quartal";"12";"sonstige";1402;4814;7;371
"2005";"1. Quartal";"01";"Hotels";42489;88334;67;11169
"2005";"1. Quartal";"01";"Hotels garni";6305;14183;22;1843
"2005";"1. Quartal";"01";"Gasthöfe";831;1568;18;339
"2005";"1. Quartal";"01";"Pensionen";1503;3904;31;571
"2005";"1. Quartal";"01";"Jugendherbergen";2870;5434;7;898
"2005";"1. Quartal";"01";"sonstige";916;3285;7;371
"2005";"1. Quartal";"02";"Hotels";45720;91582;68;11154
"2005";"1. Quartal";"02";"Hotels garni";6961;14263;23;1865
"2005";"1. Quartal";"02";"Gasthöfe";856;1560;18;340
"2005";"1. Quartal";"02";"Pensionen";1513;3758;31;571
"2005";"1. Quartal";"02";"Jugendherbergen";3116;6351;7;898
"2005";"1. Quartal";"02";"sonstige";891;4117;7;371
"2005";"1. Quartal";"03";"Hotels";67430;143223;68;11159
"2005";"1. Quartal";"03";"Hotels garni";10045;21543;23;1863
"2005";"1. Quartal";"03";"Gasthöfe";1348;2511;18;340
"2005";"1. Quartal";"03";"Pensionen";2271;5444;31;571
"2005";"1. Quartal";"03";"Jugendherbergen";6241;13939;7;898
"2005";"1. Quartal";"03";"sonstige";1122;4837;7;371
"2005";"2. Quartal";"04";"Hotels";85075;179360;68;11154
"2005";"2. Quartal";"04";"Hotels garni";12059;27083;23;1861
"2005";"2. Quartal";"04";"Gasthöfe";1538;2944;18;342
"2005";"2. Quartal";"04";"Pensionen";2483;6009;32;582
"2005";"2. Quartal";"04";"Jugendherbergen";7475;16707;7;898
"2005";"2. Quartal";"04";"sonstige";1225;3753;7;371
"2005";"2. Quartal";"05";"Hotels";100328;229953;68;11144
"2005";"2. Quartal";"05";"Hotels garni";15645;36567;23;1871
