"Jahr";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtbezirk/Ortschaft";"Stadtraum";"AltK_13IRB-2-5-9-14-17-24-29-44-59-64-74-84-";"Anzahl Einwohner"
"";"14 Leipziger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"04 Leipziger Vorstadt, Pieschen";"25 - 29 Jahre";1840
"";"14 Leipziger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"04 Leipziger Vorstadt, Pieschen";"30 - 44 Jahre";4378
"";"14 Leipziger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"04 Leipziger Vorstadt, Pieschen";"45 - 59 Jahre";1631
"";"14 Leipziger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"04 Leipziger Vorstadt, Pieschen";"60 - 64 Jahre";304
"";"14 Leipziger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"04 Leipziger Vorstadt, Pieschen";"65 - 74 Jahre";436
"";"14 Leipziger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"04 Leipziger Vorstadt, Pieschen";"75 - 84 Jahre";345
"";"14 Leipziger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"04 Leipziger Vorstadt, Pieschen";"85 Jahre u.älter";97
"";"15 Albertstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"00 - 02 Jahre";103
"";"15 Albertstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"03 - 05 Jahre";122
"";"15 Albertstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"06 - 09 Jahre";159
"";"15 Albertstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"10 - 14 Jahre";146
"";"15 Albertstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"15 - 17 Jahre";64
"";"15 Albertstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"18 - 24 Jahre";172
"";"15 Albertstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"25 - 29 Jahre";231
"";"15 Albertstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"30 - 44 Jahre";960
"";"15 Albertstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"45 - 59 Jahre";576
"";"15 Albertstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"60 - 64 Jahre";109
"";"15 Albertstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"65 - 74 Jahre";154
"";"15 Albertstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"75 - 84 Jahre";198
"";"15 Albertstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"85 Jahre u.älter";130
"";"21 Pieschen-Süd";"StB 2 Pieschen";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";"00 - 02 Jahre";618
"";"21 Pieschen-Süd";"StB 2 Pieschen";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";"03 - 05 Jahre";545
"";"21 Pieschen-Süd";"StB 2 Pieschen";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";"06 - 09 Jahre";580
"";"21 Pieschen-Süd";"StB 2 Pieschen";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";"10 - 14 Jahre";547
"";"21 Pieschen-Süd";"StB 2 Pieschen";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";"15 - 17 Jahre";240
"";"21 Pieschen-Süd";"StB 2 Pieschen";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";"18 - 24 Jahre";1057
"";"21 Pieschen-Süd";"StB 2 Pieschen";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";"25 - 29 Jahre";1489
"";"21 Pieschen-Süd";"StB 2 Pieschen";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";"30 - 44 Jahre";4263
"";"21 Pieschen-Süd";"StB 2 Pieschen";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";"45 - 59 Jahre";1782
"";"21 Pieschen-Süd";"StB 2 Pieschen";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";"60 - 64 Jahre";355
"";"21 Pieschen-Süd";"StB 2 Pieschen";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";"65 - 74 Jahre";484
"";"21 Pieschen-Süd";"StB 2 Pieschen";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";"75 - 84 Jahre";309
"";"21 Pieschen-Süd";"StB 2 Pieschen";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";"85 Jahre u.älter";126
"";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"00 - 02 Jahre";451
"";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"03 - 05 Jahre";446
"";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"06 - 09 Jahre";505
"";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"10 - 14 Jahre";557
"";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"15 - 17 Jahre";257
"";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"18 - 24 Jahre";830
"";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"25 - 29 Jahre";1014
